feature,tophat2,hisat2,hisat2/tophat2
FBgn0024491,5,4,0.8
FBgn0024509,19,17,0.8947368421052632
FBgn0024510,4,3,0.75
FBgn0024542,7,7,1
FBgn0024555,31,27,0.8709677419354839
FBgn0024556,15,15,1
FBgn0024558,9,9,1
FBgn0024689,4,3,0.75
FBgn0024698,13,12,0.9230769230769231
FBgn0024728,20,19,0.95
FBgn0024732,24,18,0.75
FBgn0024733,411,383,0.9318734793187348
FBgn0024734,1,1,1
FBgn0024804,3,6,2
FBgn0024806,25,22,0.88
FBgn0024807,12,8,0.6666666666666666
FBgn0024811,8,8,1
FBgn0024814,19,17,0.8947368421052632
FBgn0024833,10,10,1
FBgn0024841,6,6,1
FBgn0024846,8,8,1
FBgn0024887,6,6,1
FBgn0024889,19,18,0.9473684210526315
FBgn0024909,2,2,1
FBgn0024912,4,4,1
FBgn0024913,1,1,1
FBgn0024920,1,1,1
FBgn0024921,39,39,1
FBgn0024944,5,5,1
FBgn0024945,8,7,0.875
FBgn0024947,14,12,0.8571428571428571
FBgn0024956,6,7,1.1666666666666667
FBgn0024957,13,13,1
FBgn0024958,4,3,0.75
FBgn0024963,4,3,0.75
FBgn0024975,3,3,1
FBgn0024983,2,2,1
FBgn0024984,5,2,0.4
FBgn0024985,14,13,0.9285714285714286
FBgn0024986,2,2,1
FBgn0024987,42,41,0.9761904761904762
FBgn0024989,4,4,1
FBgn0024991,16,13,0.8125
